inning,is_top_inning,score_diff,is_runner_on_first,is_runner_on_second,is_runner_on_third,outs,home_win_prob,weighted_avg_li,freq
1,1,0,1,0,1,2,0.498504986006314,1.76224480024909,293
1,1,2,0,1,1,0,0.551550478789864,1.77675091421621,0
1,1,2,0,1,1,1,0.608198959185962,1.91684331017639,0
1,1,2,0,1,1,2,0.681050118681316,2.00986972954905,0
1,1,2,1,0,0,0,0.652078935822371,1.55083171627115,0
1,1,2,1,0,0,1,0.686330017053636,1.2004097458079,0
1,1,2,1,0,0,2,0.714618536112521,0.821189023252,0
1,1,2,1,0,1,0,0.568963395821407,1.79291968105963,0
1,1,2,1,0,1,1,0.626312013240179,1.92250544944682,0
1,1,2,1,0,1,2,0.688187943742699,1.72307029499534,0
1,1,2,1,1,0,0,0.59456791310925,2.16021212797097,0
1,1,2,1,1,0,1,0.648370336040091,1.93417576179711,0
1,1,2,1,1,0,2,0.693239255737001,1.59565113199203,0
1,1,2,1,1,1,0,0.515352416885392,2.49842049093039,0
1,1,2,1,1,1,1,0.585305930200091,2.70867723853699,0
1,1,2,1,1,1,2,0.660219033656477,2.93685265189665,0
1,1,9,1,1,0,0,0.958506994193341,0.468405996275105,0
1,1,9,1,1,0,1,0.969348342493131,0.342877743889024,0
1,1,9,1,1,0,2,0.977292524979816,0.238263492301451,0
1,1,9,1,1,1,0,0.939731570196057,0.699583666164126,0
1,1,9,1,1,1,1,0.956823104025534,0.572931774070578,0
1,1,9,1,1,1,2,0.971017699035491,0.486712225193377,0
1,1,10,0,0,0,0,0.983604570381878,0.0893947305417084,0
1,1,10,0,0,0,1,0.985801272489696,0.0529162306348704,0
1,1,10,0,0,0,2,0.987097339810186,0.0266379630262731,0
1,1,10,0,0,1,0,0.976745392197586,0.180628033474115,0
1,1,10,0,0,1,1,0.981233380094229,0.129026206316535,0
1,1,10,0,0,1,2,0.985475025437093,0.0859614066073145,0
1,1,10,0,1,0,0,0.978092809790753,0.17620464567883,0
1,1,10,0,1,0,1,0.982622048143568,0.119049984790442,0
1,1,10,0,1,0,2,0.985634721999262,0.0807652329367514,0
1,1,10,0,1,1,0,0.96829691826595,0.295786796960188,0
1,1,10,0,1,1,1,0.976120463300587,0.227743985765488,0
1,1,10,0,1,1,2,0.983051092328045,0.179281150561541,0
1,1,10,1,0,0,0,0.979385905694935,0.180438716464851,0
1,1,10,1,0,0,1,0.983361291949323,0.117191618447792,0
1,1,10,1,0,0,2,0.986068024933781,0.0656151701906478,0
1,1,10,1,0,1,0,0.969977951690661,0.287641358167546,0
1,1,10,1,0,1,1,0.977686130880605,0.21897286024153,0
1,1,10,1,0,1,2,0.98366794658659,0.153446769956437,0
2,0,-9,0,1,1,0,0.0460679343729081,0.458279205465076,0
2,0,-9,0,1,1,1,0.0337269452096747,0.363923484112489,0
2,0,-9,0,1,1,2,0.0222908053961743,0.297507499714368,0
2,0,-9,1,0,0,0,0.02814418838419,0.289957531144079,0
2,0,-9,1,0,0,1,0.0217541766942641,0.192365450881455,2
2,0,-9,1,0,0,2,0.0172964840807855,0.110749787220233,4
2,0,-9,1,0,1,0,0.0433326430414931,0.447453221098861,0
2,0,-9,1,0,1,1,0.0311367548325061,0.350910903251608,0
2,0,-9,1,0,1,2,0.0212823238640675,0.255249556899589,0
2,0,-9,1,1,0,0,0.0402176866045914,0.489854357691589,0
2,0,-9,1,1,0,1,0.0289253348038483,0.353219545213069,0
2,0,-9,1,1,0,2,0.0207426195377448,0.241770260071372,1
2,0,-9,1,1,1,0,0.0599788744758229,0.743353138099512,0
2,0,-9,1,1,1,1,0.0419464593619806,0.598109986057134,0
2,0,-9,1,1,1,2,0.0272258768829949,0.498363377654788,1
2,0,-8,0,0,0,0,0.0331180042213156,0.22218192559355,13
2,0,-8,0,0,0,1,0.0276399308576791,0.13777009481114,9
2,0,-8,0,0,0,2,0.0242577581686836,0.073632467135372,6
2,0,-2,1,1,1,0,0.529507033422746,2.71283730947339,2
2,0,-2,1,1,1,1,0.452741558591184,3.00547572032597,20
2,0,-2,1,1,1,2,0.369196857616523,3.30095281257592,27
2,0,-1,0,0,0,0,0.440065202828276,1.0092444819881,1630
2,0,-1,0,0,0,1,0.414924544249693,0.723026655620636,1104
2,0,-1,0,0,0,2,0.396996927614822,0.456889057493519,858
